"Language","Repo Name","Impl.Lang.","Style","Lexical Phase (if hw)","Release (latest)","Changed?","Initial Release-not important"
"#1-50 ",,,,,,,
"C","https://clang.llvm.org/doxygen/Parse_2Parser_8cpp_source.html ","C++","Handwritten, recursive-descent","Yes ",,,
,"https://github.com/gcc-mirror/gcc/blob/master/gcc/c/c-parser.c","C","Handwritten, recursive-descent","(Yes)",2018-10-26,,
,"https://github.com/eliben/pycparser","Python","Table-driven (Yacc?LALR) ?",,2018-09-19,,2010-10-09
"C++","http://www.scottmcpeak.com/elkhound/sources/elsa/index.html","C++","Table-driven (GLR)",,,,"2006-12-09 ?"
"C#","https://github.com/srxqds/CSharpCodeParser","C#","Handwritten","no","no release yet",,
"Objective-C","https://github.com/haifengkao/libclang-experiments-py","Python","handwritten ","(no)","no release yet",,
"Go","https://github.com/remyoudompheng/hs-language-go","Haskell","handwritten","yes ",2013-02-16,,2013-02-06
"Java","https://github.com/javaparser/javaparser","Java","LL(k) table-driven (JavaCC)",,2018-12-09,,2011-10-30
"CoffeeScript","https://github.com/adrianlee44/grunt-chalkboard","CoffeeScript","handwritten",,2014-08-17,,2013-09-05
"JavaScript","https://github.com/medikoo/esniff","JavaScript","handwritten","(no)",2016-08-12,,2013-11-06
"TypeScript","https://github.com/Divisors/js_ast","Java","handwritten","yes","no release yet",,
"PHP","https://github.com/mattacosta/php-parser","TypeScript","handwritten","yes ",2018-08-30,,26.11.17
"Python ###","https://github.com/bhuztez/pypyparser","Python","handwritten ","yes ","no release yet",,
"Perl","https://github.com/ingydotnet/pegex-pm","Perl","based on a grammar (PEG)",,2018-11-12,,2010-10-10
"Clojure","https://github.com/laurentpetit/ccw.parser.clojure","Clojure","handwritten ","(no)","released under EPL (?)",,
"Erlang","https://github.com/amtal/CoreErlang","Haskell","handwritten","(no)",2018-03-21,,2011-11-05
"Haskell","https://github.com/haskell-suite/haskell-src-exts","Haskell","handwritten ","yes ",2018-12-08,,2008-03-15
,"https://github.com/kcrary/cmtool (Lexer+Parser generator)","SML",,,,,
"Scala","https://github.com/voteva/metrics-extractor-scala","Java","ANTLR",,"no release yet",,
"Shell","https://github.com/mvdan/sh ","Go","handwritten","yes",2018-12-08,,2016-09-20
